time,Eh,El,R0_low_target,R0_low_adj,R0_high_adj,theta,p_recover
0.0,0.0,0.0,0.5,0.3333333333333333,0.411764705882353,1.0,1.5
1.0027472527472527,2.13667283203492e-05,1.7086997603751098e-05,0.5,0.3333333333333333,0.411764705882353,1.0,1.5
2.0054945054945055,3.499122472577472e-05,2.3494332312284335e-05,0.5,0.3333333333333333,0.411764705882353,1.0,1.5
3.008241758241758,4.327485106499761e-05,2.4379469205154837e-05,0.5,0.3333333333333333,0.411764705882353,1.0,1.5
4.010989010989011,4.790840305636078e-05,2.2626888524686325e-05,0.5,0.3333333333333333,0.411764705882353,1.0,1.5
5.013736263736264,5.007352938167309e-05,1.9805371086537317e-05,0.5,0.3333333333333333,0.411764705882353,1.0,1.5
6.016483516483516,5.0593086554108636e-05,1.674268171448585e-05,0.5,0.3333333333333333,0.411764705882353,1.0,1.5
7.019230769230769,5.0034275642320826e-05,1.3836360325875087e-05,0.5,0.3333333333333333,0.411764705882353,1.0,1.5
8.021978021978022,4.8787083865647526e-05,1.1262131679914971e-05,0.5,0.3333333333333333,0.411764705882353,1.0,1.5
9.024725274725274,4.711764856677419e-05,9.069284696542173e-06,0.5,0.3333333333333333,0.411764705882353,1.0,1.5
10.027472527472527,4.520566078912358e-05,7.247993270802296e-06,0.5,0.3333333333333333,0.411764705882353,1.0,1.5
11.030219780219781,4.317204333632329e-05,5.76059761821678e-06,0.5,0.3333333333333333,0.411764705882353,1.0,1.5
12.032967032967033,4.109658379696436e-05,4.56010264624518e-06,0.5,0.3333333333333333,0.411764705882353,1.0,1.5
13.035714285714285,3.903196976646631e-05,3.59922428688946e-06,0.5,0.3333333333333333,0.411764705882353,1.0,1.5
14.038461538461538,3.70118394961228e-05,2.8347878435052984e-06,0.5,0.3333333333333333,0.411764705882353,1.0,1.5
15.041208791208792,3.5056351174533366e-05,2.2289708308018188e-06,0.5,0.3333333333333333,0.411764705882353,1.0,1.5
16.043956043956044,3.3177402419886454e-05,1.750605482029276e-06,0.5,0.3333333333333333,0.411764705882353,1.0,1.5
17.046703296703296,3.1381543298979905e-05,1.37368621273993e-06,0.5,0.3333333333333333,0.411764705882353,1.0,1.5
18.049450549450547,2.9670979834954424e-05,1.07712602497281e-06,0.5,0.3333333333333333,0.411764705882353,1.0,1.5
19.052197802197803,2.8045629624699295e-05,8.44030235114048e-07,0.5,0.3333333333333333,0.411764705882353,1.0,1.5
20.054945054945055,2.6504005597338357e-05,6.610996221851677e-07,0.5,0.3333333333333333,0.411764705882353,1.0,1.5
21.057692307692307,2.5043633922355144e-05,5.176756373200113e-07,0.5,0.3333333333333333,0.411764705882353,1.0,1.5
22.060439560439562,2.3661408139347266e-05,4.052827142779461e-07,0.5,0.3333333333333333,0.411764705882353,1.0,1.5
23.063186813186814,2.2353918469463853e-05,3.1735295125302174e-07,0.5,0.3333333333333333,0.411764705882353,1.0,1.5
24.065934065934066,2.1117673420788555e-05,2.4826817952150167e-07,0.5,0.3333333333333333,0.411764705882353,1.0,1.5
25.068681318681318,1.9949148225040492e-05,1.9416174785104738e-07,0.5,0.3333333333333333,0.411764705882353,1.0,1.5
26.07142857142857,1.8844908035042263e-05,1.5157796416884213e-07,0.5,0.3333333333333333,0.411764705882353,1.0,1.5
27.074175824175825,1.7801482166296633e-05,1.1834660200452331e-07,0.5,0.3333333333333333,0.411764705882353,1.0,1.5
28.076923076923077,1.6815573952982097e-05,9.229811273442403e-08,0.5,0.3333333333333333,0.411764705882353,1.0,1.5
29.07967032967033,1.588393054206568e-05,7.225230811088957e-08,0.5,0.3333333333333333,0.411764705882353,1.0,1.5
30.082417582417584,1.5003614281198674e-05,5.699592989333853e-08,0.5,0.3333333333333333,0.411764705882353,1.0,1.5
31.085164835164836,1.4172048054717873e-05,4.503744634052442e-08,0.5,0.3333333333333333,0.411764705882353,1.0,1.5
32.08791208791209,1.3386731187677422e-05,3.549481387333264e-08,0.5,0.3333333333333333,0.411764705882353,1.0,1.5
33.09065934065934,1.2645154672184086e-05,2.783683761867239e-08,0.5,0.3333333333333333,0.411764705882353,1.0,1.5
34.09340659340659,1.194496482834664e-05,2.1680250294905452e-08,0.5,0.3333333333333333,0.411764705882353,1.0,1.5
35.09615384615385,1.1283706389599936e-05,1.7026274351350174e-08,0.5,0.3333333333333333,0.411764705882353,1.0,1.5
36.098901098901095,1.0658888375138113e-05,1.3467088781658e-08,0.5,0.3333333333333333,0.411764705882353,1.0,1.5
37.10164835164835,1.0068431412192907e-05,1.0813262186172165e-08,0.5,0.3333333333333333,0.411764705882353,1.0,1.5
38.104395604395606,9.510484142984047e-06,8.647984393773152e-09,0.5,0.3333333333333333,0.411764705882353,1.0,1.5
39.107142857142854,8.983217754818676e-06,6.7706278720154694e-09,0.5,0.3333333333333333,0.411764705882353,1.0,1.5
40.10989010989011,8.485299407392616e-06,5.154459463740266e-09,0.5,0.3333333333333333,0.411764705882353,1.0,1.5
41.112637362637365,8.015195849934739e-06,3.725217619795216e-09,0.5,0.3333333333333333,0.411764705882353,1.0,1.5
42.11538461538461,7.571357192665009e-06,2.6173843953145095e-09,0.5,0.3333333333333333,0.411764705882353,1.0,1.5
43.11813186813187,7.149747247502752e-06,1.795870679151136e-09,0.5,0.3333333333333333,0.411764705882353,1.0,1.5
44.120879120879124,6.755968919417627e-06,1.5792349562715867e-09,0.5,0.3333333333333333,0.411764705882353,1.0,1.5
45.12362637362637,6.382283860687634e-06,1.4848342654626597e-09,0.5,0.3333333333333333,0.411764705882353,1.0,1.5
