theta,phi_transmission,eq_high_frac,R0_ratio
0.0,0.5,9.365996264669872e-05,0.6666666666666666
0.0,0.6041666666666666,0.003540779391477663,0.8055555555555555
0.0,0.7083333333333334,0.10307693323795694,0.9444444444444445
0.0,0.8125,0.7912399092967795,1.0833333333333333
0.0,0.9166666666666667,0.990685346010441,1.2222222222222223
0.0,1.0208333333333335,0.9994301110477869,1.3611111111111114
0.0,1.125,0.9999461545509736,1.5
0.0,1.2291666666666667,0.9999928276505702,1.638888888888889
0.0,1.3333333333333335,0.9999987461119725,1.777777777777778
0.0,1.4375,0.9999997273308041,1.9166666666666667
0.0,1.5416666666666667,0.9999999290361452,2.055555555555556
0.0,1.6458333333333335,0.9999999785885818,2.1944444444444446
0.0,1.75,0.9999999926805371,2.3333333333333335
0.0,1.8541666666666667,0.9999999972158986,2.4722222222222223
0.0,1.9583333333333335,0.9999999988378205,2.611111111111111
0.0,2.0625,0.9999999994730434,2.75
0.0,2.166666666666667,0.9999999997424361,2.8888888888888893
0.0,2.2708333333333335,0.9999999998638693,3.027777777777778
0.0,2.375,0.9999999999226388,3.1666666666666665
0.0,2.479166666666667,0.9999999999525544,3.305555555555556
0.0,2.5833333333333335,0.9999999999685132,3.4444444444444446
0.0,2.6875,0.9999999999772972,3.5833333333333335
0.0,2.791666666666667,0.9999999999824558,3.7222222222222228
0.0,2.8958333333333335,0.9999999999855469,3.861111111111111
0.0,3.0,0.9999999999880705,4.0
0.04736842105263158,0.5,0.021045782365916782,0.6666666666666666
0.04736842105263158,0.6041666666666666,0.4520526450929277,0.8055555555555555
0.04736842105263158,0.7083333333333334,0.9852808593643991,0.9444444444444445
0.04736842105263158,0.8125,0.9997216619750328,1.0833333333333333
0.04736842105263158,0.9166666666666667,0.999987335372359,1.2222222222222223
0.04736842105263158,1.0208333333333335,0.9999987492796867,1.3611111111111114
0.04736842105263158,1.125,0.999999758730846,1.5
0.04736842105263158,1.2291666666666667,0.9999999221500835,1.638888888888889
0.04736842105263158,1.3333333333333335,0.9999999649506034,1.777777777777778
0.04736842105263158,1.4375,0.9999999807164647,1.9166666666666667
0.04736842105263158,1.5416666666666667,0.9999999879777801,2.055555555555556
0.04736842105263158,1.6458333333333335,0.9999999918414227,2.1944444444444446
0.04736842105263158,1.75,0.9999999941330783,2.3333333333333335
0.04736842105263158,1.8541666666666667,0.9999999955708092,2.4722222222222223
0.04736842105263158,1.9583333333333335,0.9999999965378163,2.611111111111111
0.04736842105263158,2.0625,0.999999997216692,2.75
0.04736842105263158,2.166666666666667,0.999999997702939,2.8888888888888893
0.04736842105263158,2.2708333333333335,0.9999999980486262,3.027777777777778
0.04736842105263158,2.375,0.9999999983482432,3.1666666666666665
0.04736842105263158,2.479166666666667,0.9999999986139618,3.305555555555556
0.04736842105263158,2.5833333333333335,0.9999999987025568,3.4444444444444446
0.04736842105263158,2.6875,0.9999999988929674,3.5833333333333335
0.04736842105263158,2.791666666666667,0.9999999990095599,3.7222222222222228
0.04736842105263158,2.8958333333333335,0.9999999990648731,3.861111111111111
0.04736842105263158,3.0,0.999999999181051,4.0
0.09473684210526316,0.5,0.39675703736856793,0.6666666666666666
0.09473684210526316,0.6041666666666666,0.9922746098884639,0.8055555555555555
0.09473684210526316,0.7083333333333334,0.9999327694477842,0.9444444444444445
0.09473684210526316,0.8125,0.9999970247376561,1.0833333333333333
0.09473684210526316,0.9166666666666667,0.9999995221984801,1.2222222222222223
0.09473684210526316,1.0208333333333335,0.9999998509128106,1.3611111111111114
0.09473684210526316,1.125,0.9999999352941742,1.5
0.09473684210526316,1.2291666666666667,0.9999999660755631,1.638888888888889
0.09473684210526316,1.3333333333333335,0.999999979820442,1.777777777777778
0.09473684210526316,1.4375,0.9999999868600238,1.9166666666666667
0.09473684210526316,1.5416666666666667,0.9999999908569115,2.055555555555556
0.09473684210526316,1.6458333333333335,0.9999999932833757,2.1944444444444446
0.09473684210526316,1.75,0.999999994865296,2.3333333333333335
0.09473684210526316,1.8541666666666667,0.9999999959378181,2.4722222222222223
0.09473684210526316,1.9583333333333335,0.9999999967026848,2.611111111111111
0.09473684210526316,2.0625,0.9999999972502409,2.75
0.09473684210526316,2.166666666666667,0.9999999977636521,2.8888888888888893
0.09473684210526316,2.2708333333333335,0.9999999980093299,3.027777777777778
0.09473684210526316,2.375,0.9999999981914338,3.1666666666666665
0.09473684210526316,2.479166666666667,0.9999999984648366,3.305555555555556
0.09473684210526316,2.5833333333333335,0.9999999986169887,3.4444444444444446
0.09473684210526316,2.6875,0.9999999987661617,3.5833333333333335
0.09473684210526316,2.791666666666667,0.9999999988721379,3.7222222222222228
0.09473684210526316,2.8958333333333335,0.9999999989752437,3.861111111111111
0.09473684210526316,3.0,0.999999999055733,4.0
0.14210526315789473,0.5,0.9737333299186184,0.6666666666666666
0.14210526315789473,0.6041666666666666,0.9999209922331604,0.8055555555555555
0.14210526315789473,0.7083333333333334,0.9999969278097974,0.9444444444444445
0.14210526315789473,0.8125,0.9999994643999921,1.0833333333333333
0.14210526315789473,0.9166666666666667,0.9999998336707591,1.2222222222222223
0.14210526315789473,1.0208333333333335,0.9999999301151248,1.3611111111111114
0.14210526315789473,1.125,0.9999999643103981,1.5
0.14210526315789473,1.2291666666666667,0.9999999791940902,1.638888888888889
0.14210526315789473,1.3333333333333335,0.9999999866147897,1.777777777777778
0.14210526315789473,1.4375,0.9999999907502916,1.9166666666666667
0.14210526315789473,1.5416666666666667,0.9999999932319804,2.055555555555556
