theta,phi_transmission,peak_high,eq_high_abs,eq_high_frac
0.0,0.5,0.0035225441460832135,5.199071004589784e-06,9.365996264669872e-05
0.0,0.6041666666666666,0.011496062467684209,0.00019685257770117535,0.003540779391477663
0.0,0.7083333333333334,0.034259712657139445,0.0058819033573036085,0.10307693323795694
0.0,0.8125,0.08406663735739185,0.05646468568949114,0.7912399092967795
0.0,0.9166666666666667,0.15394931104327117,0.08095861109179568,0.990685346010441
0.0,1.0208333333333335,0.21849374276102124,0.0872650754462993,0.9994301110477869
0.0,1.125,0.26819364606174845,0.09192514780725317,0.9999461545509736
0.0,1.2291666666666667,0.30598521441762566,0.09525802099279926,0.9999928276505702
0.0,1.3333333333333335,0.33573712448289994,0.09760585981100456,0.9999987461119725
0.0,1.4375,0.36020438126004795,0.09943937241404562,0.9999997273308041
0.0,1.5416666666666667,0.3808561728907603,0.10103861581799614,0.9999999290361452
0.0,1.6458333333333335,0.3984780106324877,0.10250173656818594,0.9999999785885818
0.0,1.75,0.4142989826423194,0.1038436625762679,0.9999999926805371
0.0,1.8541666666666667,0.42817484659109045,0.10506134378203154,0.9999999972158986
0.0,1.9583333333333335,0.4405629564564861,0.10615708862877016,0.9999999988378205
0.0,2.0625,0.45132830842892735,0.10714081719360068,0.9999999994730434
0.0,2.166666666666667,0.4620264762045056,0.10802608961281059,0.9999999997424361
0.0,2.2708333333333335,0.471150392306643,0.10882667405240656,0.9999999998638693
0.0,2.375,0.4792407955328665,0.10955474483645733,0.9999999999226388
0.0,2.479166666666667,0.4871963315141413,0.1102204172396926,0.9999999999525544
0.0,2.5833333333333335,0.4944572943330726,0.11083187054970109,0.9999999999685132
0.0,2.6875,0.5009528406137641,0.11139577059566529,0.9999999999772972
0.0,2.791666666666667,0.5073710746681674,0.11191763592583567,0.9999999999824558
0.0,2.8958333333333335,0.5135722686462124,0.11240204763220472,0.9999999999855469
0.0,3.0,0.5191330418499898,0.11285288072891185,0.9999999999880705
0.04736842105263158,0.5,0.004599128075331354,5.641511347887606e-05,0.0008098561567700337
0.04736842105263158,0.6041666666666666,0.014150386107080217,0.0009187662060475394,0.01314000360912803
0.04736842105263158,0.7083333333333334,0.039827323193087336,0.01325054321714791,0.18125318539903978
0.04736842105263158,0.8125,0.09328681218686694,0.07306822223522347,0.8031577458330872
0.04736842105263158,0.9166666666666667,0.16624975735904177,0.10097876161393209,0.9836138913750884
0.04736842105263158,1.0208333333333335,0.2330859383090121,0.10733864705641333,0.9981017338721294
0.04736842105263158,1.125,0.2840979752314246,0.11114721008051197,0.9996723194914727
0.04736842105263158,1.2291666666666667,0.32230124316982495,0.11408544693115273,0.9999231922665949
0.04736842105263158,1.3333333333333335,0.3519631986260726,0.11646875869450479,0.9999772155594651
0.04736842105263158,1.4375,0.3760264762339766,0.11846842414497617,0.9999918721885321
0.04736842105263158,1.5416666666666667,0.39618768137270155,0.12018908298084179,0.9999966408872372
