theta,R0,peak_time_high,peak_time_low,time_difference
0.0,0.5,7.019230769230769,6.016483516483516,1.0027472527472527
0.0,1.0,365.0,17.046703296703296,347.9532967032967
0.0,1.5,133.3653846153846,117.32142857142857,16.043956043956044
0.0,2.0,85.23351648351648,79.21703296703296,6.016483516483518
0.0,3.0,52.14285714285714,50.137362637362635,2.0054945054945037
0.25,0.5,7.019230769230769,4.010989010989011,3.008241758241758
0.25,1.0,365.0,5.013736263736264,359.9862637362637
0.25,1.5,158.43406593406593,7.019230769230769,151.41483516483515
0.25,2.0,95.26098901098901,58.15934065934066,37.10164835164835
0.25,3.0,57.15659340659341,48.13186813186813,9.024725274725277
0.5,0.5,6.016483516483516,4.010989010989011,2.0054945054945055
0.5,1.0,12.032967032967033,4.010989010989011,8.021978021978022
0.5,1.5,176.4835164835165,4.010989010989011,172.47252747252747
0.5,2.0,100.27472527472527,5.013736263736264,95.26098901098901
0.5,3.0,58.15934065934066,38.104395604395606,20.05494505494505
0.75,0.5,6.016483516483516,3.008241758241758,3.008241758241758
0.75,1.0,10.027472527472527,3.008241758241758,7.019230769230769
0.75,1.5,189.51923076923077,4.010989010989011,185.50824175824175
0.75,2.0,103.28296703296704,4.010989010989011,99.27197802197803
0.75,3.0,59.16208791208791,5.013736263736264,54.14835164835165
1.0,0.5,6.016483516483516,3.008241758241758,3.008241758241758
1.0,1.0,9.024725274725274,3.008241758241758,6.0164835164835155
1.0,1.5,199.5467032967033,3.008241758241758,196.53846153846155
1.0,2.0,106.29120879120879,3.008241758241758,103.28296703296704
1.0,3.0,60.16483516483517,4.010989010989011,56.15384615384616
